くそ
バカ
死ね
クソガキ
ボケ
カス
ヤリマン
きもちわるい
くたばれ
しらんがな
ちんちん
キモイ
カスゲーム
やめて
ガキ
オラオラ
ばばあ
ヘタクソ
ザコ
でぶ
アホ
ヒョウキン
でかい
イライラ
キチガイ
バカヤロウ
おいでこい
おめえ
あほ
ションベン
だるま
ウンコ
いたいけ
アホガキ
うんち
オナニー
イカレタ
エロ
ツンデレ
ほんと
ちくしょう
はんたーい
ふざけんな
アフォ
クズ
ゲス
クソッタレ
