کتیا
بھنچود
بیگناہ
کمینہ
سگا
گدھے
کھوتا
کچر
پاپڑ
چکلا
کنٹول
مداری
کھوتی
نجس
حرامزادہ
لنڈ
موچ
بیوقوف
گھڑ
اونٹ
کتھ پتھ
چوتر
سخت
فحش
حرام
کمی
بندر
بھاڑ
کمینے
مردانگی
گھوڑ
بکواس
بے حیائی
کمینی
گانڈ
کٹھن
مکھی
فحش
گال
خوار
ختن
دفا
لونڈ
پنکچر
گنڈ
متنا
متنی
