Scheiße
Arschloch
Verdammte Scheiße
Schwanz
Hurensohn
Blödmann
Schlampig
Fotze
Vollidiot
Idiot
Pisser
Doof
verdammt
Sackgesicht
Kacke
gefickt
verfickt
verdammter
Fick dich
Trottel
Hure
Mistkerl
Fiesling
Maul
Spasti
geisteskrank
Stück Scheiße
Wichser
Penis
Neger
verpiss dich
Kackstelze
verrecken
Ferkel
Mutterficker
Vollpfosten
Fick
Schlampe
geil
Dreck
Penner
Affenarsch
Flachwichser
Vollpfosten
Mutterfotze
Drecksau
Wixer
