merda
filho da puta
puta que pariu
cornudo
cara de pau
cagalhão
vai à merda
vai tomar no cu
lixo
cornudo
chupa
otário
piroca
bosta
cusão
chifrudo
buceta
peludo
tarado
porcaria
meretriz
pilantra
paspalho
piranha
tarado
se foder
vagabundo
desgraçado
imbecil
camelo
caralho
escroto
safado
cambada
arrombado
cagão
cuzão
sacana
pilantra
desgraçado
merda na cara
pirocudo
palhaço
pilantra
sacanagem
bostão
