merde
connard
enculé
pute
bordel
foutre
va te faire foutre
sale con
connasse
salope
crétin
enculée
conne
sucer
bite
salaud
connasse
couillon
tête de nœud
nique ta mère
enculé de ta mère
putain
connasse
enculer
enculer ta mère
pétasse
fils de pute
cul
fiotte
trou du cul
enculé de tes morts
enfoiré
nique
putain de merde
ta gueule
bâtard
foutu
espèce de con
con
fils de ta mère
salopard
foutue
putain de con
fils de chien
saloperie
